ID,News_title,News_headline,Category
4087,World needs to go organic now more than ever,Next step: Make it more affordable for common people.,business
4088,How to avoid paying tribute,Naming roads after national leaders is a convenient way of saying that's all you're getting from us.,politics
4089,Why Kamal Haasan is banking big on Vishwaroopam 2,The actor-turned-politician will be waiting with a pounding heart in anticipation of the response to his film.,Arts
4090,Yakub Quraishi is a bigot who rewards bigotry,The leader's announcement of a Rs 51 crore award to the Charlie Hebdo attackers is nothing but a publicity stunt.,politics
4091,Kashmir's Slippery Slope: Article 370's revocation sets a dangerous precedent for us all,"The idea behind Article 370 was to respect culture, history and a political agreement made with immense belief. That stands broken today and the effects won't be limited to Kashmir.",politics
4092,BSP corporator booked for taking oath in Urdu shows Hindutva is the only language BJP speaks,"Urdu was born as a language of the commoner in India, but today, like the Taj Mahal, it has become Muslim.",politics
4093,"Woman versus PM: Shalini Yadav is challenger to PM Modi in Varanasi, fighting him where Congress faltered","In the crucial Benaras election, locals are mystified about the Congress' choice of Ajay Rai. Meanwhile, the rooted Shalini Yadav takes on PM Modi as the gathbandhan's candidate.",politics
4094,How a loophole in the system helps Chennai Super Kings dominate IPL,"Players also realise that exorbitant bids come with huge expectations that few players have been able to meet, which then reduces their value.",sports
4095,Is Roger Federer the greatest tennis player of all time?,"To produce a GOAT like him, India must shift its focus from doubles to singles.",sports
4096,Indian judiciary must deliver faster justice in rape cases,Social notions of women as the 'honour and dignity' of the family is a major hurdle.,politics
4097,Apple has a big surprise for you. iPhone 6S is one bite of it,The tech giant will be launching a series of products on September 9 that are sure to set the stage alight.,tech
4098,Pakistan nuclear threat is not a bogey: Warmongering must stop,The Pakistanis are capable of giving as good as they get.,politics
4099,Why India's economic growth remains a worry,Demand for factory made goods will remain subdued due to slow global growth and poor demand from rural areas.,business
4100,New Year resolutions for Virat Kohli and the team,"Having landed in South Africa, the Indian team looks to reinvent itself.",humour
4101,Should Aamir and his wife leave intolerant India: Twitter reactions,Is the 'PK' star not all that perfect?,politics
4102,"Sunny Leone's poster can save crops from 'evil eye', but can it save theatres, cows and Indian Army?",There are many places in this country that need her strong presence.,humour
4103,The colour of film nostalgia,"In a scenario where even officially older films are a mess to watch with DVDs and Blurays butchering their aspect ratios, the trauma of witnessing colourisation of some of the seminal classics is far from over.",Arts
4104,Why the BCCI needs to give its players some rest,"From overseas tours to the World Cup, the Indian team has had a jam-packed schedule.",sports
4105,"Computers, Cronies and Corruption Charges: Deconstructing Rajiv Gandhi’s legacy","Known for Bofors and the anti-Sikh pogrom, less known for peace accords and modernising the armed forces. Famed for coteries, including an Italian one, the Rajiv years echo in our politics even today.",politics
4106,"To power up villages, put money in consumer's pocket first",Efficient and large-scale electricity distribution needs cash transfers scheme more than financial engineering.,business
4107,"India’s time to trade freely: A ‘Free and Open Indo-Pacific’ is on its way, but is India ready?",Is India competitive enough to be set ‘free’ in the Indo-Pacific?,business
4108,Mohan Bhagwat’s argument for law based on ‘ethos of society’ is unconstitutional,The RSS chief’s thinly veiled reference to the rule of a Hindu majority goes against the grain of our democratic Republic.,politics
4109,Modi and Jinping shouldn't let their egos come in the way of India-China ties,We can expect both the leaders to keep this in mind in chartering their course.,politics
4110,America in labour. Will it be a boy or girl?,"Groups who are leaning towards Clinton include African Americans, Muslims and Asians, while white and union workers are likely to vote for Trump.",politics
4111,"Mr Kejriwal, tell me how will you implement #DelhiOddEven formula","To improve air quality, focus on reducing cars but do stand up for non-polluting citizens also.",politics
4112,Will Mohan Bhagwat's statement on Muslims change the RSS attitude towards the community? Highly unlikely,"With the Congress increasingly wooing Hindus, the Sangh wants to help the BJP tap into the minority vote bank.",politics
4113,Was Netaji in Tashkent in 1966? No,Rumours will only help spin incredible conspiracy theories.,politics
4114,Shivpal Yadav won't be spared the ruthless politics of brother Mulayam,"It is Akhilesh who will head the party, with his uncle being relegated to the footnotes of Samajwadi Party's history.",politics
4115,How left-wing extremists are preying on tribal children for their cause,"Due to dwindling numbers, the cadres actively seek out girls as potential combatants.",politics
4116,Why India will be thrilled to see new Nokia 3310 back,"It has a 3.5mm headphone jack and a MicroSD card slot, which successfully makes it an upgrade to the latest iPhone.",tech
4117,These are the 6 best smartphones of 2016,The big tech companies came out with all guns blazing.,tech
4118,Pakistan burns over Asia Bibi: High time liberal Muslims spoke up for their minorities,The author wishes to stay anonymous owing to the contents of the article.,politics
4119,India is witnessing a silent rage. The key to unseating Modi lies in a unified Opposition,The Modi wave has reached its saturation point for some profound reasons.,politics
4120,What India stands to lose by abandoning Tibetans for ties with China,BJP coming to power in 2014 was greeted with enthusiasm by the exiled community.,politics
4121,How government has once again bulldozed the tribals,Rajnath Singh's new policy on left wing extremism is merely a shriller version of the Chidambaram's doctrine.,politics
4122,Pravin Togadia’s blink-and-miss hunger strike shows the Hindutva rabble-rouser's days are truly over,"There, however, are still takers for the hardline 'mandir politics'.",politics
4123,How CM Arvind Kejriwal's leadership failure is worsening the Delhi Coronavirus crisis,It is a sad state of affairs that Delhi CM Arvind Kejriwal has to warn the hospitals that are allegedly refusing to admit Covid-19 patients.,politics
4124,Will Dravidian politics survive after Jayalalithaa?,"Flawed but great, the frustratingly enigmatic 'Amma' may be one of the last phenomenal cult figures of Indian politics.",politics
4125,The ugly truth about India's caste system,"[Book extract] History may tell us why the exclusion came to be, but the question — as was famously said — is how to change it.",Arts
4126,"Readers tell us whether NSUI was right in burning effigies of PM Modi, Amit Shah in JNU","'People behave as they like, they celebrate in their own democratic way.'",politics
4127,Why court upholding disqualification of 18 MLAs is a victory for AIADMK govt,"With 116 members, the AIADMK is well above the halfway mark of 107 in the 234-member Assembly.",politics
4128,Rahul Gandhi’s elevation: Mum can no longer be the word,There will be no Sonia to shield him once he becomes Congress president.,politics
4129,"Indian secularism needs AAP, so this is what Arvind  Kejriwal should do now",There is a simple way.,politics
4130,How Modi can lose future polls to land and forest laws,"By issuing a controversial ordinance and notification, the Centre will be seen as infringing on peoples' rights not by legislation, but by executive actions.",politics
4131,Why international media still attacks Narendra Modi,"Like The New York Times, much of the US media has become disoriented since Trump’s unexpected victory.",politics
4132,"India blocks more webpages than Pakistan, Bahrain and UAE combined: Chilling details emerge",An overwhelming number of blocked URLs include ones that hosted content related to atrocities on the minority communities in India.,tech
4133,Budget 2016 is a total disaster,The government has chosen to give priority to everything except defence.,business
4134,"Why, Vivek Oberoi, Why? Just when his career could be reviving, why would the star do this to himself, all over again?","Vivek Oberoi wasted his talent getting embroiled in a huge controversy over his then-girlfriend. And now, after years of career wilderness, when he could have reentered Bollywood, he goes and does it again!",Arts
4135,Two reasons why Nitish Kumar is looking foolish in front of Modi,"On one hand, he says, PM is wrong in calling Bihar a 'Bimaru' state, on the other, he himself has been demanding the state a special status.",politics
4136,"Sex, violence aur pyaar: The preposterous pleasures of Manmarziyaan","Anurag Kashyap's latest movie breaks new ground. But it also picks up from earlier conversations about love, erotica and vice.",Arts
4137,New Delhi needs to pay more attention to J&K,"Alarm bells are certainly ringing across the country, but none so loudly as the ones in the state.",politics
4138,Why Microsoft bought LinkedIn for $26.2 billion,It has more or less failed in the smartphone space and enterprise is the area where it's going great guns.,tech
4139,How police and politicians helped 'poor' Shahabuddin escape jail,"The don claimed he couldn't afford a lawyer. His petition - and the legal course it followed  - inadvertently kept trials pending against him in 11 cases, finally leading to bail.",politics
4140,"When Mark Zuckerberg met Congress, he got rich memes for easy answers",The 33-year-old billionaire CEO of Facebook looked like a child who has been caught cheating by his school teacher.,humour
4141,Why an injured Virat Kohli still has a role to play in the IPL,RCB skipper believes the recently concluded Dharamsala Test strengthened his resolve.,humour
4142,Why we are in a dilemma over Yakub Memon's hanging,"The Mumbai blasts showed the damage done to our unique syncretic national identity, perhaps irreversibly, after the destruction of the Babri Masjid.",politics
4143,Why the court gave Jayalalithaa bail,One of the reasons was Fali Nariman’s advocacy who argued she needed time outside jail to prepare her appeal.,politics
4144,"No, most people don't want an India-Pakistan war","After a suicide bomber set off a train of events, many voices, from netas to TV anchors, have been loudly demanding war with Pakistan. But is that really what most people want? And what India can truly afford?",politics
4145,Why floods will always terrify me,I can only pray for Chennai for I know how long it will take for the city to stand up again.,politics
4146,How building and reopening roads can help India as well as China,Beijing should let people and goods flow again over the Himalayas.,politics
4147,BJP denies tickets to firebrand leaders: Attempt to move away from Hindutva politics in Rajasthan?,"Gyandev Ahuja and Banwari Lal Singhal, both known for making controversial statements, have fond no place in the party’s second list.",politics
4148,"With CAA, BJP has voted itself out of power in Assam in 2021",The BJP has not merely broken a promise made to Assam. It has betrayed the Assamese people by bringing in the Citizenship Amendment Act.,politics
4149,"What India should expect from the next Chief Justice, Dipak Mishra",His first task is to heal the Supreme Court.,politics
4150,"For Modi, 2016 is critical. What he must do",The clock is running down and tackling issues head-on is the only option for the prime minister this year.,politics
4151,What Kiara Advani learnt from Lust Stories,In her short career thus far Advani says she has learned as much from her failures as she has from her successes,Arts
4152,Priya Dutt on why the future worries her,The only way a government can improve is when they take constructive criticism. Else you are nothing but a dictator.,politics
4153,NASA finds water and oxygen on Mars. But should we be excited?,NASA's Reconnaissance Orbiter has found proof of oxygen and water that could support sustained microbial – and in the future human life – on Mars.,tech
4154,Tackling the Maoists: Why 2018 may be a deciding year,This article has been jointly authored by Jugal R Purohit and Ashok Upadhyay.,politics
4155,6 ways India can jump to online wallets overnight,Any transaction that can be safely executed with a cash alternative must be permitted.,business
4156,Why Modi and Sharif must hug and give India-Pakistan a second chance,"Knowing the prime minister's talent for out-of-the-box thinking, he may spring a surprise.",politics
4157,Why Mulayam couldn't stop his younger daughter-in-law from fighting UP polls,She never made any bones about airing her political ambitions.,politics
4158,By-poll results show BJP’s winning streak will continue,"The party has secured victory in four Assembly seats already, while leading in two others, out of ten constituencies across eight states.",politics
4159,Has Obama become a lame duck president,"With the mid-term election rout, the US President has no option but to appease the war-mongering Republicans.",politics
4160,"Demonetisation drama, a play in three acts",It remains to be seen whether the drive will turn out to be a Santa or a Shylock.,politics
4161,Why #IndvsAus is the virtual final of Cricket World Cup 2015,"Whoever wins, Team India or the Aussies, it will be a contest people will remember for a very long time.",sports
4162,Read Vishal Sikka on why he's quitting Infosys as CEO and MD,The company has appointed chief operating officer UB Pravin Rao as interim managing director and CEO.,business
4163,How conflict affects Kashmiri women,"Cornered by circumstances beyond their control, we find the victims of violence becoming victimisers themselves.",politics
4164,Why Modi’s 10% reservation is the worst news for upper castes since Independence,"Narendra Modi has managed to bring upper castes to their knees for reservations, their backs now turned upon 'merit'",politics
4165,Pro-Pakistan slogans? Nothing new for the Valley,What is new today is that there is a PDP-BJP government in Jammu and Kashmir.,politics
4166,A bumpy ride ahead for Citizenship (Amendment) Bill,"As the Rajya Sabha gears up to discuss the CAB, the polarising nature of the Bill cannot be overlooked.",politics
4167,How a story on JP's detention during Emergency almost cost me my job,"Ironically, now Jayaprakash Narayan is being resurrected by PM Modi as an election plank in Bihar.",politics
4168,#SalmanKhanVerdict: What about our drunk driving?,Justice has been served but what gives us the right to sit in moral judgement.,politics
4169,"If you enjoyed watching Olympics, World Nomad Games will blow your mind","Teams from 40 countries, including India, are competing at the sporting extravaganza being held at Kyrgyzstan from September 3 to 8.",sports
4170,Why BRICS summit 2016 is a game-changer for India-Russia ties,The proof of the pudding is in bold print in the many defence and trade agreements signed between the two countries.,politics
4171,Politics of rediscovering Ambedkar,"How Babasaheb became a trope, foisted on the political establishment of India by a reverential public.",politics
4172,NSG bid: How India plans to win this round of Chinese checkers,"As New Delhi hopes for a full membership of the Nuclear Suppliers Group, memories of 2008 have returned to haunt.",politics
4173,Modi's graveyard barb in UP's Fatehpur shows he's unworthy to be India's leader,The policy failures of this government mean the only politics it's left with is the communally insensitive kind.,politics
4174,Why media faces a tougher challenge today than during Emergency,Rajdeep Sardesai talks about how the press continues to crawl under political pressure.,politics
4175,Jaitley's sharp Left turn shows Modi eager to please Lutyens' Delhi,It is unconscionable to penalise middle class savers in such arbitrary fashion.,business
4176,Why India and Pakistan must play: I'm glad Gautam Gambhir is not boycotting India-Pak commentary in World Cup 2019,Playing Pakistan is not about the two points in the World Cup. It’s not even the love for cricket.,politics
4177,Baba Ram Rahim gets 20 years in rape case: Watch live coverage on Aaj Tak,"The Dera chief allegedly broke into tears, folded his hands and begged for forgiveness before the judge.",politics
4178,"Karan Johar, you have sold the nation",What’s the point of having influence and money if you get bullied by an outfit like MNS?,politics
4179,Most of Netaji's family believes he was in Soviet Russia after 1945,"For them, the time to confer Bharat Ratna on him now went by decades ago.",politics
4180,"Pakistan: An army that owns the country, now has the courts too","Generals are the main culprit in the old saga of Allah, America and army.",politics
4181,Seven new words Indian politics taught us in 2014,"From journalists to trolls, everyone knows who the ""Chaiwala"", ""Mufflerman"" and ""Pappu"" is, thanks to the election year.",politics
4182,"Hey Modi-BJP trolls, you were saying something about Kejriwal?",Our cartoonist sketches the landscape of Indian politics with his wicked pen.,humour
4183,Three reasons why I think the ‘assassins of Rajiv Gandhi’ should never be freed,The Tamil Nadu government wants to release all seven convicts in the Sriperumbudur blast case. Doing so will be disastrous – and will only help more terror strikes against India,politics
4184,"In Bengal's Congress heartland, TMC is losing favour","'Ai baare poribortoner poriborton hobay (people will change the government brought on the promise of change),' says a voter.",politics
4185,Cricketers aren’t speaking On CAA. They have enough reasons not to,The cricket community today would rather be silent on matters of national importance than make statements they don't fully subscribe to.,politics
4186,"SC is wrong to summon Katju, a former judge",The apex court would have done better by considering his arguments while deciding the pending review petitions.,politics
4187,It pays more to be a Tendulkar than a Dhanawade,"Let’s face it: India is loaded in favour of the dynasty, even in cricket.",sports
4188,SC's Arunachal verdict a blow for BJP; but can Congress claim moral high ground?,The grand old party has always been notorious for dismissing the elected governments in states.,politics
4189,Sarahah app: Anonymity cuts both ways,"I remain under no illusion of the internet being still value-free space, devoid of any politics of its own.",tech
4190,America unhappy with its choices this US elections,"The sense of anger, confusion, apprehension or simple disinterest on the streets of the country stands out.",politics
4191,How I was shamed for being a woman in the forest,"Animals, though, do not discriminate between the genders. They regard us all as irritants.",politics
4192,Shots fired at Munich shopping centre. Germany's brush with terror?,Heavy police personnel are scouring the area with reports of possibly multiple deaths sending social media into a tizzy.,politics
4193,How Nepal can defuse the crisis,The only solution for PM Oli is to open serious talks with the Madhesi leaders and amend the Constitution.,politics
4194,"Sushma Swaraj, MEA: Minister of warmth, grace and steely resolve","Sushma Swaraj shone as India's External Affairs Minister owing to her meticulous knowledge of foreign affairs, her hard bargaining for India and her nerves of steel.",politics
4195,How Trump pulling America out of Paris climate change accord will impact world politics,India would have to move quickly to protect its own national interests in the new status quo under definition.,politics
4196,I visited small towns in UP. Here’s what I found about which leader is winning the hearts of youths,These voters are sitting on the fence.,politics
4197,[Video] Sharad Yadav's daughter defends her father. Says you can't find good husband if you're not fair,Janta Dal-United chief made sexist remarks in Parliament last week. Subhashi Bundela says his views not wrong. Agree?,politics
4198,"Life and death of Poornima Pakvasa, a quiet Gandhian",She met the Mahatma when she was only eight and that changed her forever.,politics
4199,"Want Start-up India, not odd-even",The weather forecast is easier than predicting policy changes in the country.,politics
4200,Scrapping Indus Waters Treaty unilaterally is not an option,Articles 9-12 of the treaty clearly say India and Pakistan can’t just cancel it.,politics
4201,"Wear the Balidaan badge with pride, MS Dhoni: Don't we play for pride of country?","Why it's perfectly logical for MS Dhoni to wear his special badge. After all, the ICC has changed its own rules many a time in the past.",sports
4202,How alternative schools score better than regular ones in India,[Book extract] Free existence and absence of an authority is what is most distinctive about these institutions.,politics
4203,How Telangana CM's son KTR became the 'Agony Anna' of his state,"There is speculation about a possible Uddhav vs Raj Thackeray, or a Stalin vs Alagiri kind of situation between KTR and cousin in near future.",politics
4204,How horrible is it to live among the dead,Kolkata's Partha De failed to come to terms with the deaths and difficulties he faced within his family and who can blame him?,politics
4205,Naseeruddin Shah needs to quit playing the angry young man,"When the real world and the parallel world collide, even the seemingly smart ones tend to sound stupid.",politics
4206,"Yogi Adityanath wants to be UP CM, not Cabinet minister","In an otherwise lacklustre expansion, the Hindutva leader's unabashed defiance is significant.",politics
4207,"NSG: Modi, Doval, Jaishankar have disgraced India",Thankfully for them Brexit and Rexit serve to hide the magnitude of this diplomatic misadventure.,politics
4208,[India Today] The many existential crises of Pakistan,There is a tactical element possibly at play to weaken Nawaz Sharif and his party before election.,politics
4209,Why asking IITs and IIMs to mint money is government's worst idea ever,A higher education system focused on profits is ill-suited to many of society's long-term aims and aspirations.,politics
4210,"Stay hungry, stay foolish: Rahul Gandhi’s apples are UP’s oranges",Only Congress vice-president can pull off telling the story of Steve Jobs to the good people of Uttar Pradesh.,politics
4211,"Under new coach, Indian hockey seems set on right path",To finish in the top four of an international hockey federation event is proof the sport is looking up.,sports
4212,New digital age won't be as much fun if we don't talk about privacy,"Privacy should not be limited to headline grabbing revelations about surveillance, Snowden and Sony; these conversations need to be mainstreamed to every citizen-consumer.",tech
4213,Why TDP has again sought to move no-confidence motion against Modi government,N Chandrababu Naidu is keeping the issue alive to garner support during the elections in 2019.,politics
4214,A hack has put data of 17 million Zomato users at risk: Should India be worried?,The company has assured payment-related information has not been leaked.,tech
4215,How to hit Pakistan: Take out Dawood and Hafiz Saeed,It is time to prick the ISI-protected bubble.,politics
4216,"Modi did not fail India at BRICS, though ties with Russia are worrying",PM's description of cross-border terrorism emanating from India’s neighbouring country made his intent to isolate Pakistan clear.,politics
4217,Will Congress' reconstituted team in Madhya Pradesh be able to take on BJP?,The party has completely overlooked two communities - Brahmins and Muslims - in the latest exercise.,politics
4218,Dangers of what Modi doesn't say and what bhakts don't want you to say,They are going after Muslims and their livelihood today. Who will it be tomorrow?,politics
4219,Congress should focus on #KisaanSatyagraha instead of ranting on #RahulSnoopFarce,"Having pushed the BJP to the back foot on the Land Acquisition Bill, why did Congress open another battle-front by raking up the snooping issue?",politics
4220,"Ganguly, Dravid or Shastri? In search of a good India cricket coach",Becoming coach would mean foregoing coveted space in the media as well as the BCCI’s power matrix.,sports
4221,Just too tight: Who decides that a saree is 'female' and a tuxedo is 'male'?,"Why did clothing, made to express ourselves, become so tightly gendered that we can't even wear a scarf that looks 'for the opposite sex'?",Arts
4222,America's Middle East policy will decide Hillary and Bernie's fate,"US voters have to choose between Clinton's experience and Sanders' understanding,",politics
4223,Why Taapsee Pannu needs to do 'Judwaa 2' alongside movies like 'Mulk' and 'Pink',The actress calls her latest role as the most intimidating of her career.,Arts
4224,How much does Facebook know about you?,More than you have possibly forgotten in the last half a decade.,tech
4225,"Why should mornings only be for Repeaterji, and not Peterji?","Wake up, my friends. News is not a factory.",humour
4226,Why Flipkart is launching Billion Capture+ smartphone,The e-commerce giant has announced its first smartphone - a budget device in two variants.,tech
4227,"Good words notwithstanding, SP and Congress aren't joining hands in UP","Rahul Gandhi and Akhilesh Yadav may exchange niceties, but the possibility of their parties coming together in a pre-poll alliance is almost negligible.",politics
4228,Rafale debate: Rahul Gandhi may have bitten off more than he can chew,"Is India’s feudal culture allowing dynasts like Gandhi, Jyotiraditya Scindia and even a few from the BJP, to behave with impunity?",politics
4229,Why Modi is feeling special this Vijaya Dashami,"The BJP has set the stage for PM's chest-thumping, contrary to his own advice to his ministers and party leaders.",politics
4230,Should MS Dhoni retire or play under Virat Kohli?,Who knows there could be a sequel to the 'Helicopter' - 'The Mars Orbiter'.,sports
4231,"Why Didi should go: Delhi's Bengali migrants say BJP has made strong inroads into Bengal, Mamata Banerjee's rule will be shaken","West Bengal is seeing a close fight between the TMC and BJP. Migrant workers from Bengal, driven to Delhi in desperate need of jobs, want to see the BJP win.",politics
4232,Congress collapsing in Arunachal?,"Now, the Raj Bhavan would have a more critical and crucial role to play.",politics
4233,Why Yogi Adityanath’s government in UP is no better than Akhilesh Yadav’s,Both CMs punished upright officers doing their duty.,politics
4234,"How Modi, RSS are turning the Indian abroad into a Hindutva bigot",Prime minister has emboldened Hindu upper-caste NRIs to turn India into a nation of theirs only.,politics
4235,Why no political party talks about putting an end to violence,"First, we allow our families to perpetrate violence. Then, the impunity is extended to the community and the state.",politics
4236,"This is what Sri Sri sounds like, when doves, and ISIS, cry","Art of Living encountered the art of killing and surprise, it left a bad taste in its mouth.",humour
4237,"CM Khattar, how does it matter if the Rewari gangrape survivor knew the accused?","We need a swachchata abhiyaan for our mindsets, starting from political leaders.",politics
4238,Yes Obama can. But can Modi ever do this?,US president on a late night show reads all the mean things people have tweeted about him. Does PM have the stomach for that?,politics
4239,"Why are Smriti Irani, Amit Shah and Arun Jaitley losing it?",The BJP needs to stop behaving like an eight-year old throwing a tantrum.,politics
4240,#AwardWapsi: Where have all the writers gone?,Young authors say secular intelligentsia is engaged in the propaganda game.,politics
4241,How America can help India inflict pain on Pakistan,US lawmakers have given their citizens a powerful legal weapon to hold to account a sovereign nation that is complicit in terrorism.,politics
4242,Why Myanmar strike is Modi's 56-inch self-goal,Rajdeep Sardesai explains how India's recent military success turned into a diplomatic embarrassment.,politics
4243,How the Supreme Court wants to solve the reservation conundrum,Will the government accept the judiciary's solution?,politics
4244,Will Modi please come out of election mode now?,"The prime minister cannot be a perennial election campaigner, he needs to focus on reviving economic growth and driving development.",politics
4245,Why Bangkok blast may not be a terrorist attack,"The only thing known about the bomber and motive at this time, however, is that nothing is known.",politics
4246,How a morphed FB photo led to the death of a 21-year-old girl in Tamil Nadu,The social networking site was meant to make friends. It became Vinupriya's enemy.,politics
4247,Why CBFC has an issue with Amartya Sen saying 'Gujarat' or 'cow',Beeping out phrases from documentary on the Nobel laureate betrays Hindutva’s inferiority complex.,politics
4248,China's double-speak on Masood Azhar will come back to haunt it,"After Pakistan, the next target of global terror could be our Communist neighbour.",politics
4249,How we all failed Gajendra Singh,"In our search for the personal luxuries, let us not forget our aspiring millions. Let us not also talk about only the needs of our bottom thirds, but also their wants.",politics
4250,What IIM-A virtually bullying Flipkart tells us about start-ups,"These companies offer challenges and rich rewards when something works, but probably not the job security.",business
4251,India's demographic dividend is turning into a disaster,"PM Modi, who is in Davos to tell the world that 'India means business', ought to bear in mind the complete failure of his Skill India programme.",politics
4252,Why 2016 Assembly polls are a challenge for both BJP and Congress,"Irrespective of the outcomes, these polls will help our understanding of India’s politics in the years to come.",politics
4253,Why poor growth will haunt Modi till 2019,"While the bank recapitalisation plan is late by about two years, the GST came amid a slowdown.",business
4254,#IPLVerdict: Is this the end of the road for CSK and Rajasthan Royals?,The Supreme Court appointed Lodha panel recommended that the franchises be suspended for two years on account of corruption.,sports
4255,New York blast is a wake-up call for the US and India,Additional measures for vigorous intelligence and a sharp lookout for radicalised hopefuls merit priority.,politics
4256,How Union minister Satyapal Singh who says Darwin was wrong had Twitter in splits,"TBH, all the MoS did was point out the lack of empirical evidence of apes turning into men.",humour
4257,Delhi Elections 2020: Development versus deity argument could fall in AAP’s favour,Another Assembly loss will raise questions about PM Modi’s political instincts and Home Minister Amit Shah’s Midas touch.,politics
4258,"Flipkart, Amazon, Ola... Who will survive India's e-commerce wars?",[Book extract] The message is clear: profitability will drive investors' decisions.,business
4259,Delhi lost a childhood treasure in museum fire,"That feeling of knowing friends who were much older, appearing indestructible in their reality, are gone forever is not flameproof.",politics
4260,Durex is making denims - and all the fans on Twitter are losing their wits,"Stretching your imagination a bit too much, eh?",humour
4261,What needs to be done to get GST right,The model law is an intimidating piece of legislation.,business
4262,And Mallika Sherawat is at Cannes again. But why?,Turns out even Google doesn't know!,Arts
4263,Why is the Indian Left trying to win polls with cold blooded murders?,"Ahead of Kerala and West Bengal elections, we need to ask why, in a democracy, is it necessary to kill your opponent?",politics
4264,What the new Star Wars trailer tells you about the film,"It is going to be a sequel to the original trilogy and the story will surely be after the ""Return of the Jedi"".",tech
4265,Why arrival of endangered black-necked crane in Arunachal is momentous,One of the only two wintering sites in India for the migratory bird remains vulnerable due to a proposed hydropower project.,politics
4266,What exactly is Rahul Gandhi’s politics? 2018 provided us sharp answers,The Congress president has shown he has effective strategies and strengths. But there are political pitfalls he needs to watch out for.,politics
4267,What killing of militant Kashmir University professor says about new-age militancy in the Valley,"Unfazed by the deadly onslaught under the Army operation, youths continue to pick up arms, ready to fight: win or die.",politics
4268,Challenges facing India's monetary policy,Let us keep up the efforts for a better and continual reform phase.,business
4269,Indian Army post attacked at LoC: What we know so far,There's coordinated intensification of firing and definite escalation of aggression along the border.,politics
4270,For Bihar's sake: Lalu as important as Nitish,The onus of running a successful coalition government in the state is not on the JD(U) chief alone.,politics
4271,Why the Kartarpur Corridor could revive the Khalistani movement,"The recent Kartarpur Corridor announcement is definitely a matter of glee, but it brings reasons to be worried too.",politics
4272,Murder of a horse: An elegy,"In India, they mercifully don't cut the legs of healthy politicians like Ganesh Joshi, even if they are guilty of mindless violence.",politics
4273,"Banks to strike, shut shop for 5 days: Who allows them to rob us of our festive cheer?",The big question that the bank officials don’t seem to care about is how people are to cope without banking services for so long? Are they only interested in getting some extra holidays?,business
4274,Farmer suicide at AAP rally: We saw a tragedy and farce,Rajdeep Sardesai on Gajendra Singh's death and the 'Peepli Live' like situation that followed.,politics
4275,Why we need LGBT-friendly workplaces,Radhika Piramal agrees that her status as the boss of VIP Industries may have shielded her from discrimination at work.,politics
4276,"Yes, I bleed, and so do goddesses: What's your shame?","In this country of 'Beti Bachao Beti Padhao', discrimination happens in the name of gender.",politics
4277,Modi's let India down for me,"Will he constantly keep wading into the glib self-congratulatory mode, casting a blind eye to all critique?",politics
4278,Mystery solved: We know who’s to be blamed/praised for Ranveer’s wardrobe,"No, it's neither Deepika, nor Nitasha.",humour
4279,High profile coaches to hog limelight in new Premier League season,There have been significant investments on players; but none have caught the eye as much as managerial changes.,sports
4280,How the government is using Sadhvi to get out of its mess,Niranjan Jyoti is the flare which is now holding Parliament to ransom.,politics
4281,Woman offered as prize for Jallikattu: Why our 'culture' fails women and animals,Research has shown that the passion for abusing women stems from the abuse of animals.,politics
4282,Malayalam TV anchor on Mahishasur Jayanti debate and what led to threat calls,'I never said what I have been accused of.',politics
4283,Baba blacksheep: When law reaches our godmen before God,"Religion within India is much like Bollywood is for India abroad. Take Ramdev's Z security, or Rampal non-bailable warrant.",humour
4284,"Was helping Lalit Modi really worth it, Sushma Swaraj?",Has she simply been gullible and acted as she claimed on humanitarian grounds?,politics
4285,"Desert dunes: Rajasthan CM Ashok Gehlot cries foul over elections, wants Lok Sabha and Assembly polls to be conducted simultaneously",Gehlot argues that having multiples elections spread out in a period of two years hinders the work of the government. How much of it is true?,politics
4286,Why defence ministry is wrong in its Rafale defence,The ministry couldn't explain why it had not asked for a competitive Eurofighter quote.,politics
4287,"Free Jio services till March 31, 2017: Top 20 highlights from Mukesh Ambani's announcement",The RIL chairman also expressed support for PM Modi's demonetisation move.,tech
4288,Shame on Kejriwal for ignoring the elderly in Odd-Even plan,"AAP, which receives a lot of support from NRIs, must be educated by them about how countries in the West look after their senior citizens.",politics
4289,Will censor board chief Pahlaj Nihalani never learn?,Court rulings against the CBFC has become more of a norm.,politics
4290,"PM Modi a brand now, to impact polls in Tamil Nadu: Venkaiah Naidu at #SouthConclave17",The Union minister for urban development and I&B bats in favour of the decisions taken by the central government.,politics
4291,How Monsanto is getting away with looting India's farmers,"In addition to illegal royalties, the firm owes the families of 'prime aged' working Indian farmers $1.764 trillion.",politics
4292,"Muslims must return Ayodhya, Mathura and Kashi to Hindus","Former regional director, ASI, says the Left intellectuals have a history of ruining an amicable settlement.",politics
4293,Beig blunder: Rich kids of the counter-insurgency,Tony belongs to the #richkidsofinstagram generation. His mistake was taking a moment that was a commonplace of his home to the wider world.,politics
4294,Why Pakistan doesn't want to normalise ties with India,The outcome of all of Islamabad's 'investigations' into border violations can be easily predicted: New Delhi started it first.,politics
4295,Why the Manipur ambush is the worst attack on the Army in a decade,20 Indian Army soldiers were killed by unidentified guerillas in the northeastern state in a single day.,politics
